symbol,start_date,end_date,initial_balance,final_balance,return_pct,num_trades,overbought,oversold,use_sma,sma_window,use_macd,error
BLDR,2023-07-03,2024-07-02,10000.0,6671.840087890625,-33.281599121093755,25.0,70.0,30.0,False,N/A,True,
BG,2023-07-03,2024-07-02,10000.0,9734.400329589844,-2.6559967041015624,31.0,70.0,30.0,False,N/A,True,
CDNS,2023-07-03,2024-07-02,10000.0,14356.92025756836,43.56920257568359,29.0,70.0,30.0,False,N/A,True,
CZR,2023-07-03,2024-07-02,10000.0,8205.919548034668,-17.94080451965332,31.0,70.0,30.0,False,N/A,True,
CPT,2023-07-03,2024-07-02,10000.0,9152.51010131836,-8.474898986816406,24.0,70.0,30.0,False,N/A,True,
CPB,2023-07-03,2024-07-02,10000.0,9917.159412384033,-0.828405876159668,34.0,70.0,30.0,False,N/A,True,
COF,2023-07-03,2024-07-02,10000.0,9711.679489135742,-2.883205108642578,25.0,70.0,30.0,False,N/A,True,
CAH,2023-07-03,2024-07-02,10000.0,10948.369270324707,9.48369270324707,24.0,70.0,30.0,False,N/A,True,
KMX,2023-07-03,2024-07-02,10000.0,10058.160163879395,0.5816016387939453,47.0,70.0,30.0,False,N/A,True,
CCL,2023-07-03,2024-07-02,10000.0,9375.37902545929,-6.246209745407104,42.0,70.0,30.0,False,N/A,True,
CARR,2023-07-03,2024-07-02,10000.0,13015.439743041992,30.15439743041992,20.0,70.0,30.0,False,N/A,True,
CTLT,2023-07-03,2024-07-02,10000.0,9902.998802185059,-0.9700119781494141,40.0,70.0,30.0,False,N/A,True,
CAT,2023-07-03,2024-07-02,10000.0,11015.299072265625,10.152990722656249,31.0,70.0,30.0,False,N/A,True,
CBOE,2023-07-03,2024-07-02,10000.0,9644.699493408203,-3.553005065917969,9.0,70.0,30.0,False,N/A,True,
CBRE,2023-07-03,2024-07-02,10000.0,10627.698936462402,6.276989364624024,48.0,70.0,30.0,False,N/A,True,
CDW,2023-07-03,2024-07-02,10000.0,11064.420425415039,10.644204254150392,24.0,70.0,30.0,False,N/A,True,
CE,2023-07-03,2024-07-02,10000.0,11033.919723510742,10.339197235107422,40.0,70.0,30.0,False,N/A,True,
COR,2023-07-03,2024-07-02,10000.0,10325.039978027344,3.2503997802734372,26.0,70.0,30.0,False,N/A,True,
CNC,2023-07-03,2024-07-02,10000.0,10900.641075134277,9.006410751342774,30.0,70.0,30.0,False,N/A,True,
CNP,2023-07-03,2024-07-02,10000.0,10001.629577636719,0.0162957763671875,29.0,70.0,30.0,False,N/A,True,
CF,2023-07-03,2024-07-02,10000.0,10359.590087890625,3.5959008789062494,16.0,70.0,30.0,False,N/A,True,
CHRW,2023-07-03,2024-07-02,10000.0,10029.940216064453,0.29940216064453123,35.0,70.0,30.0,False,N/A,True,
CRL,2023-07-03,2024-07-02,10000.0,9646.300094604492,-3.5369990539550784,39.0,70.0,30.0,False,N/A,True,
SCHW,2023-07-03,2024-07-02,10000.0,9351.949787139893,-6.480502128601075,36.0,70.0,30.0,False,N/A,True,
CHTR,2023-07-03,2024-07-02,10000.0,9473.370300292969,-5.266296997070312,41.0,70.0,30.0,False,N/A,True,
CVX,2023-07-03,2024-07-02,10000.0,10777.78076171875,7.7778076171875,16.0,70.0,30.0,False,N/A,True,
CMG,2023-07-03,2024-07-02,10000.0,11843.404022216797,18.43404022216797,21.0,70.0,30.0,False,N/A,True,
CB,2023-07-03,2024-07-02,10000.0,10481.869720458984,4.818697204589844,11.0,70.0,30.0,False,N/A,True,
CHD,2023-07-03,2024-07-02,10000.0,9869.20044708252,-1.3079955291748047,18.0,70.0,30.0,False,N/A,True,
CI,2023-07-03,2024-07-02,10000.0,11484.109130859375,14.841091308593752,28.0,70.0,30.0,False,N/A,True,
CINF,2023-07-03,2024-07-02,10000.0,11168.44019317627,11.684401931762697,21.0,70.0,30.0,False,N/A,True,
CTAS,2023-07-03,2024-07-02,10000.0,11063.729675292969,10.637296752929688,10.0,70.0,30.0,False,N/A,True,
CSCO,2023-07-03,2024-07-02,10000.0,9806.450763702393,-1.9354923629760743,32.0,70.0,30.0,False,N/A,True,
